,up_Order Data
0,2010-05-28
1,2012-08-22
2,2014-05-02
3,2014-06-20
4,2013-02-01
5,2015-02-04
6,2011-04-23
7,2012-07-17
8,2015-07-14
9,2014-04-18
10,2011-06-24
11,2014-08-02
12,2017-01-13
13,2017-02-08
14,2014-02-19
15,2012-04-23
16,2016-11-19
17,2015-04-01
18,2010-12-30
19,2012-07-31
20,2014-05-14
21,2015-07-31
22,2016-06-30
23,2014-09-08
24,2016-05-07
25,2017-05-22
26,2014-10-13
27,2010-05-07
28,2014-07-18
29,2012-05-26
30,2012-09-17
31,2013-12-29
32,2015-10-27
33,2015-01-16
34,2017-02-25
35,2017-05-08
36,2011-11-22
37,2017-01-14
38,2012-04-01
39,2012-02-16
40,2017-03-11
41,2010-02-06
42,2012-06-07
43,2012-10-06
44,2015-11-14
45,2016-03-29
46,2016-12-31
47,2010-12-23
48,2014-10-14
49,2012-01-11
50,2010-02-02
51,2013-08-18
52,2013-03-25
53,2011-11-26
54,2013-09-17
55,2012-06-08
56,2010-06-30
57,2015-02-23
58,2012-01-05
59,2014-04-07
60,2013-06-09
61,2013-06-26
62,2011-11-07
63,2010-10-30
64,2013-10-13
65,2013-10-11
66,2012-07-08
67,2016-07-25
68,2010-10-24
69,2015-04-25
70,2013-04-23
71,2015-08-14
72,2011-05-26
73,2017-05-20
74,2013-07-05
75,2014-11-06
76,2014-10-28
77,2011-09-15
78,2012-05-29
79,2013-07-20
80,2012-10-21
81,2012-09-18
82,2016-11-15
83,2011-01-04
84,2012-03-18
85,2012-02-17
86,2011-01-16
87,2014-02-03
88,2012-04-30
89,2016-10-23
90,2016-12-06
91,2014-07-07
92,2012-06-13
93,2010-11-26
94,2011-02-08
95,2011-07-26
96,2011-11-11
97,2016-06-01
98,2015-07-30
99,2012-02-10
